title,seafood,salad,cream_based,asian,baking_goods,meat,italian,mexican
Chip Truck Fries,0,0,0,0,0.982843041,0,0,0
Irish Bacon And Cabbage Soup,0,0,0,0.992289722,0,0,0,0
Quick Salmon Salad,0.992290497,0,0,0,0,0,0,0
Bills Seasoned Ketchup,0,0,0,0,0,0.990112543,0,0
Celery Salad,0.993054807,0,0,0,0,0,0,0
Jens Heavenly Egg Salad,0.991336644,0,0,0,0,0,0,0
Black Bean And Corn Quesadillas,0,0,0,0.776180267,0,0,0,0.218404561
Mimis Zucchini Pie,0,0,0,0.637387276,0,0,0,0.356660187
Tomato Mint Quinoa Salad,0,0,0,0.991336107,0,0,0,0
Nutty Brown Rice Salad,0,0,0,0.995646477,0,0,0,0
Bread Machine Swedish Coffee Bread,0,0,0,0,0,0,0,0.990112901
Refreshing Mint And Tuna Salad,0.423877031,0,0,0,0,0,0.572143912,0
Lizzy217S Lamb Gyros,0.725059628,0,0,0,0.085129365,0.18743895,0,0
Black Bean Corn And Tomato Salad With Feta Cheese,0.269381583,0,0,0.72729975,0,0,0,0
Awesome Spicy Beef Kabobs Or Haitian Voodoo Sticks,0,0,0,0,0.993055344,0,0,0
Super Blt,0,0,0,0,0,0,0.988484979,0
Spinach Watermelon Mint Salad,0,0,0.994647741,0,0,0,0,0
Oriental Sesame Slaw,0,0,0.988486648,0,0,0,0,0
Picadillo De Platano,0,0,0,0,0,0.992290437,0,0
Spicy Shrimp Skewers,0,0,0.993055224,0,0,0,0,0
Avocado Shrimp Salad,0.090350181,0,0,0.903697312,0,0,0,0
New Year Three Bean And Artichoke Salad,0,0,0,0.663989544,0,0,0.331423193,0
Italian Panzanella Bread Salad,0,0,0,0.537366867,0,0,0.458901674,0
Veggie Potato Salad For A Crowd,0.492390275,0,0,0.504464924,0,0,0,0
Cold Roasted Moroccan Spiced Salmon,0.982842803,0,0,0,0,0,0,0
Refreshing Watermelon Salad,0,0,0,0.977272689,0,0,0,0
Tuna Fish Pea Salad,0.595946908,0,0.394184142,0,0,0,0,0
Egg Drop Soup Better Than Restaurant Quality,0,0,0.65969646,0,0.333695531,0,0,0
Soccer Salad,0,0,0.990111947,0,0,0,0,0
Cheesy Baked Eggs,0,0,0,0,0,0,0,0.990112662
Halloween Eye Of Newt,0.991336584,0,0,0,0,0,0,0
Andouille And Poblano Quesadillas,0,0,0,0.993682206,0,0,0,0
Grilled Mushroom And Swiss,0,0,0,0,0,0,0.993055522,0
Marinated Black Eyed Pea Salad,0,0,0,0.992290616,0,0,0,0
Italian Vegetarian Patties,0,0,0.496967286,0,0,0,0.299488425,0.199721605
Hot Turkey Salad,0.747925043,0,0,0,0,0,0,0.246122405
Moms Portuguese Beef Stew,0,0,0,0.436034679,0.560452461,0,0,0
Day After Thanksgiving Turkey Carcass Soup,0,0,0,0,0.991336584,0,0,0
Toasted Apple Pecan Brie Sandwiches,0,0,0,0,0,0,0,0.993055403
Bean With Bacon,0,0,0,0.323586047,0.667939305,0,0,0
Pumpkin Bean Soup,0,0,0,0.993682265,0,0,0,0
Black Bean And Chickpea Chili,0,0,0,0.994648278,0,0,0,0
Cream Cheese Fruit Salad,0,0.578802347,0,0,0,0,0,0.415782005
Lebanese Fattoosh,0.842571557,0,0,0.153449014,0,0,0,0
